At Sundown,Guillaume Nouaux New Orleans Trio
At Sundown,Warren Vaché
At The Mambo Inn,George Benson feat. McCoy Tyner and Ron Carter
At The Moment,Nadéah
Atabaque,Laurindo Almeida Quartet
Ataraxi,Ken Peplowski
Au bois de mon coeur,Christian Escoudé
Aurora en Pékin,Marc Ribot
Ausland,Pale Nudes
Autumn,Vanessa Rubin
Autumn in New York,Modern Jazz Quartet
Autumn In New-York,Putte Wickman
Autumn Leaves,Eric Clapton
Autumn Leaves,Full Steam Jazzband
Autumn Leaves,Hammond Lounge
Autumn Leaves = Les feuilles mortes (orig.),Mickki Brown
Autumn Leaves (Les feuilles mortes),Cal Tjader's Modern Mambo Quintet
Autumn Leaves (Les feuilles mortes),Earl Klugh
Autumn Leaves (Les feuilles mortes),Eva Cassidy
Autumn Leaves (Les feuilles mortes),Hot Club De Surprise & Tin Seiffert
Autumn Leaves (Les feuilles mortes),Hot Strings
Autumn Leaves (Les feuilles mortes),Oscar Peterson
Autumn Leaves (Les feuilles mortes),Paula Cole
Autumn Leaves (Les feuilles mortes),Pytheas
Autumn Leaves (Les feuilles mortes),Ron Holloway
Autumn Leaves (Les feuilles mortes),Sonny Stitt with The Hank Jones Trio
Autumn Leaves (Les feuilles mortes),Tito Puente & His Latin Jazz Ensemble
Autumn Melodie,Mourad Benhammou & Jazzworkers Quintet
Autumn Nocturne,Scott Hamilton
Autumn Serenade,John Coltrane & Johnny Hartman
Avalon,Bob Wilber - Dany Doriz Quintet
Avalon,J. M. Rhythm Four
Avalon,Ken Wood Septet
Avalon,Lionel Hampton & Svend Asmussen
Avalon,Swing Makers feat. Hazy Osterwald
Ave Maria,Trio Lorraine Desmarais & Jean-Pierre Zanella
Avec le temps,Stefanie Kunckler YMONOS
Avelina,Stephan Urwyler / Regina Litvinova
Away From You,Johnny Hodges Quintet
Away In A Manger,Fourplay
Away In A Manger,James Morrison Big Band
Away In A Manger,Kenny Burrell with Orchestra
Away In A Manger,Larry Carlton
Azalea,Ellingtonality
Azalea,Howard Alden and Randy Sandke
Azule Serape,Bobby Durham Trio
Azure,Vince Benedetti
Azzurro,Echoes Of Swing
Azzurro,New Trio One
Azzurro,Zurich Airport Orchestra
"Baby, Baby All The Time",Kat Gang
Baby Breeze,Chet Baker
Baby Cakes,Bob James
Baby Don't You Quit Now,Kristin Korb
Baby Don't You Tear My Clothes,Ida Sand
Baby Elephant Walk,In Mission of Tradition
Baby I Love You,B. B. King & Bonnie Raitt
Baby I Love You,Soul Jam
"Baby, It's Cold Outside",Ben Webster & Matty Peters
Baby It's Cold Outside,Dean Martin
"Baby, It's Cold Outside",Steve Tyrell & Jane Monheit
Baby It's Cold Outside,Willie Nelson feat. Norah Jones
Baby Talk,Dave's True Story
Baby What You Want Me To Do,Nico Brina
"Baby, Won't You Please Come Home",Andreas Baer Trio Plus One
